447457	6667485.5	447521.3438	6667474.5	447615.6875	6667417						
447440.0938	6667124	447632.4688	6666971.5								
447398.9063	6665772.5	447635.4688	6665649.5								
447588.3438	6667742.5	447641.5625	6667679								
447609.8125	6666957	447677.625	6666853.5								
447448.0313	6665970.5	447681.5	6665765								
447598.625	6666264	447700	6666040	447767.5938	6665907.5						
447721.5313	6666276.5	447755.3125	6666215								
447711.25	6664624	447815.9375	6664457.5	447896	6664328.5						
447803.5313	6665952	447886.0938	6665859.5	447951.3125	6665816.5						
447727.5938	6665817	447890.4063	6665697.5								
447847.4688	6666116.5	447908.9063	6665987.5	447991.8438	6665920	448071.4063	6665785.5	448179.1875	6665625.5		
447906.9375	6667419.5	447988.6875	6667365.5								
447839.3438	6666837.5	448002.6875	6666724.5	448129.7188	6666652	448260.375	6666626.5	448318.4375	6666583		
447831.3438	6664799.5	448003.7813	6664482	448086.9063	6664313						
447919.1875	6667040.5	448006.3125	6666939	448158.75	6666855.5	448525.3438	6666714	448808.4375	6666601.5		
447890.1563	6667280	448162.375	6667175	448398.3125	6667095						
448014.9063	6667805.5	448162.9688	6667733.5								
448100.2188	6667813	448195.5625	6667692.5								
448231.5625	6667869	448197.7813	6667927.5								
448081	6666599	448231.5313	6666519	448366.6875	6666448.5	448461.9375	6666396.5				
448203.3438	6667284	448319.9063	6667186								
448047	6666841.5	448335.25	6666731.5								
448254.625	6667393.5	448352.3438	6667249.5								
448301.875	6667824.5	448422.4375	6667765	448492.625	6667677						
448382.0938	6665932	448455.8125	6665877								
448398.3125	6667389	448554.375	6667258.5	448808.4375	6667124						
448637.0625	6665877	448581.7813	6665941.5								
448554.2813	6667415	448602.625	6667373.5								
448456.375	6667389	448665.9159	6667261.914								
448369.25	6666917	448703.1875	6666804.5	449026.2188	6666688.5						
448529.5313	6665698.5	448713.875	6665603.5								
448686.9688	6667473.5	448735.5313	6667410.5	448802.125	6667353						
448707.7188	6665923	448756.875	6665855.5								
448659.625	6667124	448870.125	6667037	448968.125	6666950						
448823.7188	6667489.5	448883.0938	6667457.5	448958.6875	6667429						
448728.5313	6667722.5	448889.75	6667644								
448830.5	6666461	448895.0313	6666356.5	448944.1875	6666295						
448904.6875	6667748.5	449057.625	6667543.5	449129.625	6667471.5	449196.1875	6667446.5	449253.7813	6667381.5		
449033.25	6666224.5	449073.1875	6666169								
448793.9063	6667254.5	449073.4063	6667138.5								
449061	6666046	449159.3125	6665959.5	449236.125	6665873.5						
448955.1875	6666579	449173.8125	6666379								
449048	6667755.5	449182.2813	6667636								
449104	6665655.5	449251.4688	6665563.5	449322.125	6665523.5						
448965.2813	6667499.5	449265.75	6667352.5								
449242.9688	6667549	449323.9375	6667428.5								
449207.6875	6667113	449352.875	6667044								
449291.375	6666973.5	449528.9063	6666857								
449368.1875	6665932	449586.3125	6665824.5	449703.0625	6665729.5						
449385.5313	6666554	449599.6875	6666489	449788.4375	6666427						
449460.3438	6667041	449638.5	6666799								
449644.5938	6666074	449696.8125	6665969.5	449742.9063	6665892.5	449801.25	6665806.5				
449644.6875	6665818.5	449773.7188	6665757								
449937.25	6666340	450104.1875	6666267.5								
450076.9375	6666564	450133.125	6666454								
450024.6563	6666075	450279.25	6665914.5								
450180.6875	6665908	450291.5625	6665825								
450211.5	6666407	450310.0313	6666287								
450159.1563	6666259	450393.1563	6666056								
