136.76	139.32
124.09	107.95
134.32	180.35
119.52	 81.19
143.60	170.83
127.12	 77.05
152.77	120.90
121.26	 82.87
131.77	115.60
126.97	153.80
115.01	101.72
127.44	444.95
140.19	335.86
149.93	 67.60
119.94	184.35
107.65	 70.90
128.28	129.14
122.77	164.42
148.59	471.61
144.56	259.60
149.40	217.26
157.63	113.00
143.60	249.10
163.39	150.79
124.76	269.23
134.00	384.37
138.30	263.19
124.99	 37.50
104.53	 85.68
125.52	117.03
131.39	118.72
142.23	275.80
139.09	211.06
116.56	144.25
142.70	162.17
124.99	224.97
125.56	211.48
118.20	235.95
115.63	262.38
117.59	159.79
128.79	108.54
104.89	190.71
117.64	310.39
141.46	172.59
135.74	158.47
124.81	172.54
130.15	152.75
140.93	102.39
128.98	142.27
128.39	207.72
150.54	406.00
137.38	154.24
125.00	 74.96
118.84	210.41
137.50	200.06
139.98	107.73
132.09	302.86
123.51	217.37
134.00	141.07
121.41	159.27
142.44	131.19
133.18	143.22
137.26	167.47
132.82	230.24
143.22	139.83
150.51	 72.95
132.01	131.48
128.11	119.10
128.06	163.84
122.47	120.15
140.59	222.61
 65.68	 30.35
108.38	233.08
142.74	258.82
121.57	 97.42
144.56	127.66
145.20	101.69
117.09	120.78
153.94	174.77
117.62	145.62
138.59	132.67
141.96	234.27
149.23	150.14
122.70	131.42
126.01	 56.98
104.72	181.07
111.57	208.10
114.65	 74.33
145.56	141.25
158.82	119.04
165.03	 95.23
147.27	102.24
137.29	158.54
140.84	107.04
127.14	247.63
124.00	177.95
125.72	130.18
142.36	150.91
105.27	197.44
110.22	186.63
125.50	 79.22
124.42	 70.76
128.74	127.84
139.84	152.44
111.71	189.21
134.02	136.71
120.22	135.08
117.03	127.63
112.51	 73.13
125.34	105.46
131.53	139.51
109.65	319.68
103.67	300.36
114.97	123.17
138.86	289.49
111.94	191.33
127.41	116.06
136.49	160.63
115.18	274.98
132.69	112.83
157.41	176.00
125.58	284.42
133.54	120.49
126.25	166.58
124.60	 66.93
150.43	133.37
138.75	123.03
123.33	151.06
121.14	153.74
127.90	106.62
145.63	 84.81
111.25	118.66
151.13	133.60
120.93	 89.51
147.80	101.04
121.17	118.84
124.64	109.08
106.75	 83.28
157.44	 25.99
151.56	167.74
140.82	126.43
137.47	158.10
123.67	520.44
129.31	262.04
143.79	106.59
156.25	196.65
123.35	 90.95
107.92	248.59
101.00	240.99
118.87	108.73
141.64	 83.53
142.30	156.10
124.54	109.34
 99.70	 65.28
121.36	110.49
128.40	245.49
117.47	266.63
140.03	 82.85
146.77	123.74
131.35	311.03
155.65	245.87
152.97	148.75
151.22	 70.17
147.84	196.68
148.17	151.83
138.25	123.99
123.40	 78.12
126.28	201.96
154.53	142.88
129.14	106.93
149.39	156.27
146.03	192.92
123.45	 97.97
124.68	198.62
119.71	146.26
101.04	133.12
126.84	 72.55
151.49	361.30
153.81	188.34
139.36	133.76
118.71	173.81
111.11	392.95
111.67	304.63
111.09	291.77
108.73	249.13
115.93	164.64
141.65	153.66
150.00	 67.55
117.99	170.47
117.55	152.44
118.63	108.52
130.06	152.29
110.89	308.53
145.84	174.03
116.27	134.45
141.42	112.56
126.73	 91.98
129.90	203.43
117.90	287.47
139.40	 84.95
130.64	 63.71
121.24	245.07
108.62	352.38
109.75	343.23
117.26	207.38
142.37	 79.54
130.81	 87.98
143.94	 83.50
112.46	227.77
131.60	131.05
118.32	 67.45
110.66	 80.79
115.96	179.31
148.30	122.82
141.37	 78.73
143.28	255.76
135.00	101.82
110.59	 71.10
138.46	 86.84
144.26	 68.38
112.54	302.62
131.34	130.95
138.23	115.31
132.45	296.31
131.67	179.75
121.96	173.81
119.52	 81.19
116.07	334.50
146.10	145.18
115.42	160.75
116.13	264.56
116.24	243.18
129.14	150.52
106.88	223.80
108.18	198.67
143.64	300.51
153.45	116.82
149.09	 89.74
145.85	103.92
115.48	142.94
113.48	182.00
152.94	123.52
122.23	300.96
126.82	138.50
140.61	155.27
130.94	309.78
